,sepal_length,sepal_width,petal_length,petal_width,species,sl_extra,zero,zeros +1,squared_petal_length
0,5.1,3.5,1.4,0.2,setosa,5.1,0,1,1.9599999999999997
1,4.9,3.0,1.4,0.2,setosa,4.9,0,1,1.9599999999999997
2,4.7,3.2,1.3,0.2,setosa,4.7,0,1,1.6900000000000002
3,4.6,3.1,,0.2,setosa,4.6,0,1,
4,5.0,3.6,1.4,0.2,setosa,5.0,0,1,1.9599999999999997
5,5.4,3.9,1.7,0.4,setosa,5.4,0,1,2.8899999999999997
6,4.6,,1.4,0.3,setosa,4.6,0,1,1.9599999999999997
7,5.0,3.4,1.5,0.2,setosa,5.0,0,1,2.25
8,4.4,2.9,1.4,0.2,setosa,4.4,0,1,1.9599999999999997
9,4.9,3.1,1.5,0.1,setosa,4.9,0,1,2.25
10,5.4,3.7,1.5,,setosa,5.4,0,1,2.25
11,4.8,3.4,1.6,0.2,setosa,4.8,0,1,2.5600000000000005
12,4.8,3.0,1.4,0.1,setosa,4.8,0,1,1.9599999999999997
13,4.3,3.0,1.1,0.1,setosa,4.3,0,1,1.2100000000000002
14,5.8,4.0,1.2,0.2,setosa,5.8,0,1,1.44
15,5.7,4.4,1.5,0.4,setosa,5.7,0,1,2.25
16,5.4,3.9,1.3,0.4,setosa,5.4,0,1,1.6900000000000002
17,5.1,3.5,1.4,0.3,setosa,5.1,0,1,1.9599999999999997
18,5.7,,1.7,0.3,setosa,5.7,0,1,2.8899999999999997
19,5.1,3.8,1.5,0.3,setosa,5.1,0,1,2.25
20,5.4,3.4,1.7,0.2,setosa,5.4,0,1,2.8899999999999997
21,5.1,3.7,1.5,0.4,setosa,5.1,0,1,2.25
22,4.6,3.6,1.0,0.2,setosa,4.6,0,1,1.0
23,5.1,3.3,1.7,0.5,setosa,5.1,0,1,2.8899999999999997
24,4.8,3.4,1.9,0.2,setosa,4.8,0,1,3.61
25,5.0,,,0.2,setosa,5.0,0,1,
26,5.0,3.4,1.6,0.4,setosa,5.0,0,1,2.5600000000000005
27,5.2,3.5,1.5,0.2,setosa,5.2,0,1,2.25
28,5.2,3.4,,0.2,setosa,5.2,0,1,
29,4.7,3.2,1.6,0.2,setosa,4.7,0,1,2.5600000000000005
30,4.8,,1.6,0.2,setosa,4.8,0,1,2.5600000000000005
31,5.4,3.4,1.5,0.4,setosa,5.4,0,1,2.25
32,5.2,4.1,1.5,0.1,setosa,5.2,0,1,2.25
33,5.5,4.2,1.4,0.2,setosa,5.5,0,1,1.9599999999999997
34,4.9,3.1,1.5,0.1,setosa,4.9,0,1,2.25
35,5.0,3.2,,0.2,setosa,5.0,0,1,
36,5.5,3.5,1.3,0.2,setosa,5.5,0,1,1.6900000000000002
37,4.9,3.1,1.5,0.1,setosa,4.9,0,1,2.25
38,4.4,3.0,1.3,0.2,setosa,4.4,0,1,1.6900000000000002
39,5.1,3.4,1.5,0.2,setosa,5.1,0,1,2.25
40,5.0,3.5,1.3,0.3,setosa,5.0,0,1,1.6900000000000002
41,4.5,2.3,1.3,0.3,setosa,4.5,0,1,1.6900000000000002
42,4.4,3.2,1.3,0.2,setosa,4.4,0,1,1.6900000000000002
43,5.0,3.5,1.6,0.6,setosa,5.0,0,1,2.5600000000000005
44,5.1,3.8,1.9,0.4,setosa,5.1,0,1,3.61
45,4.8,3.0,1.4,0.3,setosa,4.8,0,1,1.9599999999999997
46,5.1,3.8,1.6,0.2,setosa,5.1,0,1,2.5600000000000005
47,4.6,3.2,1.4,0.2,setosa,4.6,0,1,1.9599999999999997
48,5.3,3.7,1.5,0.2,setosa,5.3,0,1,2.25
49,5.0,3.3,1.4,0.2,setosa,5.0,0,1,1.9599999999999997
50,7.0,3.2,4.7,1.4,versicolor,7.0,0,1,22.090000000000003
51,6.4,3.2,4.5,1.5,versicolor,6.4,0,1,20.25
52,6.9,3.1,4.9,1.5,versicolor,6.9,0,1,24.010000000000005
53,5.5,2.3,4.0,1.3,versicolor,5.5,0,1,16.0
54,6.5,2.8,4.6,1.5,versicolor,6.5,0,1,21.159999999999997
55,5.7,2.8,4.5,1.3,versicolor,5.7,0,1,20.25
56,6.3,3.3,4.7,1.6,versicolor,6.3,0,1,22.090000000000003
57,4.9,2.4,3.3,1.0,versicolor,4.9,0,1,10.889999999999999
58,6.6,2.9,4.6,1.3,versicolor,6.6,0,1,21.159999999999997
59,5.2,2.7,3.9,1.4,versicolor,5.2,0,1,15.209999999999999
60,5.0,2.0,3.5,1.0,versicolor,5.0,0,1,12.25
61,5.9,3.0,4.2,1.5,versicolor,5.9,0,1,17.64
62,6.0,2.2,4.0,1.0,versicolor,6.0,0,1,16.0
63,6.1,2.9,4.7,1.4,versicolor,6.1,0,1,22.090000000000003
64,5.6,2.9,3.6,1.3,versicolor,5.6,0,1,12.96
65,6.7,3.1,4.4,1.4,versicolor,6.7,0,1,19.360000000000003
66,5.6,3.0,4.5,1.5,versicolor,5.6,0,1,20.25
67,5.8,2.7,4.1,1.0,versicolor,5.8,0,1,16.81
68,6.2,2.2,4.5,1.5,versicolor,6.2,0,1,20.25
69,5.6,2.5,3.9,1.1,versicolor,5.6,0,1,15.209999999999999
70,5.9,3.2,4.8,1.8,versicolor,5.9,0,1,23.04
71,6.1,2.8,4.0,1.3,versicolor,6.1,0,1,16.0
72,6.3,2.5,4.9,1.5,versicolor,6.3,0,1,24.010000000000005
73,6.1,2.8,4.7,1.2,versicolor,6.1,0,1,22.090000000000003
74,6.4,2.9,4.3,1.3,versicolor,6.4,0,1,18.49
75,6.6,3.0,4.4,1.4,versicolor,6.6,0,1,19.360000000000003
76,6.8,2.8,4.8,1.4,versicolor,6.8,0,1,23.04
77,6.7,3.0,5.0,1.7,versicolor,6.7,0,1,25.0
78,6.0,2.9,4.5,1.5,versicolor,6.0,0,1,20.25
79,5.7,2.6,3.5,1.0,versicolor,5.7,0,1,12.25
80,5.5,2.4,3.8,1.1,versicolor,5.5,0,1,14.44
81,5.5,2.4,3.7,1.0,versicolor,5.5,0,1,13.690000000000001
82,5.8,2.7,3.9,1.2,versicolor,5.8,0,1,15.209999999999999
83,6.0,2.7,5.1,1.6,versicolor,6.0,0,1,26.009999999999998
84,5.4,3.0,4.5,1.5,versicolor,5.4,0,1,20.25
85,6.0,3.4,4.5,1.6,versicolor,6.0,0,1,20.25
86,6.7,3.1,4.7,1.5,versicolor,6.7,0,1,22.090000000000003
87,6.3,2.3,4.4,1.3,versicolor,6.3,0,1,19.360000000000003
88,5.6,3.0,4.1,1.3,versicolor,5.6,0,1,16.81
89,5.5,2.5,4.0,1.3,versicolor,5.5,0,1,16.0
90,5.5,2.6,4.4,1.2,versicolor,5.5,0,1,19.360000000000003
91,6.1,3.0,4.6,1.4,versicolor,6.1,0,1,21.159999999999997
92,5.8,2.6,4.0,1.2,versicolor,5.8,0,1,16.0
93,5.0,2.3,3.3,1.0,versicolor,5.0,0,1,10.889999999999999
94,5.6,2.7,4.2,1.3,versicolor,5.6,0,1,17.64
95,5.7,3.0,4.2,1.2,versicolor,5.7,0,1,17.64
96,5.7,2.9,4.2,1.3,versicolor,5.7,0,1,17.64
97,6.2,2.9,4.3,1.3,versicolor,6.2,0,1,18.49
98,5.1,2.5,3.0,1.1,versicolor,5.1,0,1,9.0
99,5.7,2.8,4.1,1.3,versicolor,5.7,0,1,16.81
100,6.3,3.3,6.0,2.5,virginica,6.3,0,1,36.0
101,5.8,2.7,5.1,1.9,virginica,5.8,0,1,26.009999999999998
102,7.1,3.0,5.9,2.1,virginica,7.1,0,1,34.81
103,6.3,2.9,5.6,1.8,virginica,6.3,0,1,31.359999999999996
104,6.5,3.0,5.8,2.2,virginica,6.5,0,1,33.64
105,7.6,3.0,6.6,2.1,virginica,7.6,0,1,43.559999999999995
106,4.9,2.5,4.5,1.7,virginica,4.9,0,1,20.25
107,7.3,2.9,6.3,1.8,virginica,7.3,0,1,39.69
108,6.7,2.5,5.8,1.8,virginica,6.7,0,1,33.64
109,7.2,3.6,6.1,2.5,virginica,7.2,0,1,37.209999999999994
110,6.5,3.2,5.1,2.0,virginica,6.5,0,1,26.009999999999998
111,6.4,2.7,5.3,1.9,virginica,6.4,0,1,28.09
112,6.8,3.0,5.5,2.1,virginica,6.8,0,1,30.25
113,5.7,2.5,5.0,2.0,virginica,5.7,0,1,25.0
114,5.8,2.8,5.1,2.4,virginica,5.8,0,1,26.009999999999998
115,6.4,3.2,5.3,2.3,virginica,6.4,0,1,28.09
116,6.5,3.0,5.5,1.8,virginica,6.5,0,1,30.25
117,7.7,3.8,6.7,2.2,virginica,7.7,0,1,44.89
118,7.7,2.6,6.9,2.3,virginica,7.7,0,1,47.61000000000001
119,6.0,2.2,5.0,1.5,virginica,6.0,0,1,25.0
120,6.9,3.2,5.7,2.3,virginica,6.9,0,1,32.49
121,5.6,2.8,4.9,2.0,virginica,5.6,0,1,24.010000000000005
122,7.7,2.8,6.7,2.0,virginica,7.7,0,1,44.89
123,6.3,2.7,4.9,1.8,virginica,6.3,0,1,24.010000000000005
124,6.7,3.3,5.7,2.1,virginica,6.7,0,1,32.49
125,7.2,3.2,6.0,1.8,virginica,7.2,0,1,36.0
126,6.2,2.8,4.8,1.8,virginica,6.2,0,1,23.04
127,6.1,3.0,4.9,1.8,virginica,6.1,0,1,24.010000000000005
128,6.4,2.8,5.6,2.1,virginica,6.4,0,1,31.359999999999996
129,7.2,3.0,5.8,1.6,virginica,7.2,0,1,33.64
130,7.4,2.8,6.1,1.9,virginica,7.4,0,1,37.209999999999994
131,7.9,3.8,6.4,2.0,virginica,7.9,0,1,40.96000000000001
132,6.4,2.8,5.6,2.2,virginica,6.4,0,1,31.359999999999996
133,6.3,2.8,5.1,1.5,virginica,6.3,0,1,26.009999999999998
134,6.1,2.6,5.6,1.4,virginica,6.1,0,1,31.359999999999996
135,7.7,3.0,6.1,2.3,virginica,7.7,0,1,37.209999999999994
136,6.3,3.4,5.6,2.4,virginica,6.3,0,1,31.359999999999996
137,6.4,3.1,5.5,1.8,virginica,6.4,0,1,30.25
138,6.0,3.0,4.8,1.8,virginica,6.0,0,1,23.04
139,6.9,3.1,5.4,2.1,virginica,6.9,0,1,29.160000000000004
140,6.7,3.1,5.6,2.4,virginica,6.7,0,1,31.359999999999996
141,6.9,3.1,5.1,2.3,virginica,6.9,0,1,26.009999999999998
142,5.8,2.7,5.1,1.9,virginica,5.8,0,1,26.009999999999998
143,6.8,3.2,5.9,2.3,virginica,6.8,0,1,34.81
144,6.7,3.3,5.7,2.5,virginica,6.7,0,1,32.49
145,6.7,3.0,5.2,2.3,virginica,6.7,0,1,27.040000000000003
146,6.3,2.5,5.0,1.9,virginica,6.3,0,1,25.0
147,6.5,3.0,5.2,2.0,virginica,6.5,0,1,27.040000000000003
148,6.2,3.4,5.4,2.3,virginica,6.2,0,1,29.160000000000004
149,5.9,3.0,5.1,1.8,virginica,5.9,0,1,26.009999999999998
